"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"tusanus_jacobus_viaf_221293349","individual","male","Jacques TOUSSAIN","unknown_location_diocese_of_troyes_FR_gid_unknown","Unknown, in the diocese of Troyes",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1547,"1547-03-15",0,1547,"#525252"
"venatorius_thomas_viaf_43677502","individual","male","Thomas VENATORIUS","nürnberg_DE_gid_2861650","Nürnberg",1488,"1488-01-01",1,1488,"1488-12-31","nürnberg_DE_gid_2861650","Nürnberg",1551,"1551-02-04",0,1551,"#fdb863"
"vergara_juan_de_viaf_100470729","individual","male","Juan de VERGARA","toledo_ES_gid_2510409","Toledo",1492,"1492-09-04",0,1492,"1492-09-04","toledo_ES_gid_2510409","Toledo",1557,"1557-02-20",0,1557,"#525252"
"vergil_polydore_viaf_89468390","individual","male","Polidoro VIRGILIO","urbino_IT_gid_3165035","Urbino",1470,"1470-01-01",1,1470,"1470-12-31","urbino_IT_gid_3165035","Urbino",1555,"1555-04-18",0,1555,"#525252"
"vives_juan_luis_viaf_71399403","individual","male","Juan Luis VIVES","valencia_ES_gid_2509954","Valencia",1492,"1492-03-06",0,1492,"1492-03-06","brugge_BE_gid_2800931","Bruges",1540,"1540-05-06",0,1540,"#525252"
"wary_nicolas_viaf_unknown","individual","male","Nicolas WARY","marville_FR_gid_2995336","Marville near Longwy",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",1529,"1529-11-30",0,1529,"#525252"
"wolsey_thomas_viaf_22937889","individual","male","Thomas WOLSEY","ipswich_GB_gid_2646057","Ipswich, Suffolk",NA,"0000-00-00",1,NA,"0000-00-00","leicester_abbey_GB_gid_unknown","Leicester Abbey",1530,"1530-11-29",0,1530,"#525252"
"zasius_ulrich_viaf_61645489","individual","male","Udalricus ZASIUS","konstanz_DE_gid_2885679","Konstanz",1461,"1461-01-01",1,1461,"1461-12-31","freiburg_DE_gid_2925177","Freiburg im Breisgau",1535,"1535-11-24",0,1535,"#fdb863"
"łaski_hieronim_viaf_161930274","individual","male","Hieronim ŁASKI","łask_PL_gid_3093902","Łask, near Sieradz",1496,"1496-11-27",0,1496,"1496-11-27","kraków_PL_gid_3094802","Cracow",1541,"1541-12-22",0,1541,"#525252"
"łaski_jan_(2)_viaf_222145667146705170005","individual","male","Jan (II) ŁASKI","łask_PL_gid_3093902","Łask, near Sieradz",1499,"1499-01-01",1,1499,"1499-12-31","pińczów_PL_gid_762201","Pinczow",1560,"1560-01-08",0,1560,"#525252"
"bild_veit_viaf_42582972","individual","male","Veit Bild","höchstädt_an_der_donau_DE_gid_2903012","Höchstadt/Donau",1481,"1481-04-14",0,1481,"1481-04-14","augsburg_DE_gid_2954172","Augsburg",1529,"1529-07-19",0,1529,"#525252"
"billicanus_theobald_viaf_54939371","individual","male","Theobald Billicanus","billigheim_ingenheim_DE_gid_3272462","Billigheim bei Landau",1491,"1491-01-01",1,1491,"1491-12-31","marburg_an_der_lahn_DE_gid_2873759","Marburg",1554,"1554-08-08",0,1554,"#525252"
"cuspinianus_johannes_viaf_56145857800523020145","individual","male","Johannes Cuspinianus","schweinfurt_DE_gid_2834498","Schweinfurt in Franken",1473,"1473-12-20",1,1473,"1473-12-31","vienna_AT_gid_2761369","Wien",1529,"1529-04-19",0,1529,"#525252"
"dietrich_ambrosius_viaf_69673463","individual","male","Ambrosius Dietrich","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"#525252"
"donauwörth_mayor_of_viaf_not_applicable","individual","male","Bürgermeister von Donauwörth","unknown_location_XX_gid_unknown","not applicable",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"#525252"
"donauwörth_town_council_of_viaf_not_applicable","corporate body","not applicable","Rat von Donauwörth","unknown_location_XX_gid_unknown","not applicable",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"#525252"
"geuder_georg_viaf_uncertain","individual","male","Georg Geuder","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"#525252"
"geuder_sebald_viaf_unknown","individual","male","Sebald Geuder","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",1553,"1533-01-01",1,1553,"#525252"
"gugel_christoph_viaf_232302151","individual","male","Christoph Gugel","harburg_DE_gid_2910686","Harburg im Ries",1499,"1499-01-06",0,1499,"1499-01-06","nürnberg_DE_gid_2861650","Nürnberg",1577,"1577-08-16",0,1577,"#525252"
"hohenlohe_graf_albrecht_von_viaf_37680768","individual","male","Graf Albrecht von Hohenlohe","unknown_location_XX_gid_unknown","unknown",1478,"1478-01-01",1,1478,"1478-12-31","unknown_location_XX_gid_unknown","unknown",1551,"1551-01-01",1,1551,"#525252"
"hummelberger_michael_viaf_287885872","individual","male","Michael Hummelberg","ravensburg_DE_gid_2849802","Ravensburg",1487,"1487-01-01",1,1487,"1487-12-31","ravensburg_DE_gid_2849802","Ravensburg",1527,"1527-05-19",0,1527,"#525252"
"imhoff_andreas_viaf_25371459","individual","male","Endres Imhoff","nürnberg_DE_gid_2861650","Nürnberg",1491,"1491-11-29",0,1491,"1491-11-29","nürnberg_DE_gid_2861650","Nürnberg",1579,"1579-10-24",0,1579,"#525252"
"koler_katharina_viaf_unknown","individual","female","Katharina Koler","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"#525252"
"kreber_leonhard_viaf_unknown","individual","male","Leonhard Kreber","nürtingen_DE_gid_2861632","Nürtingen",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",1527,"1527-08-27",0,1527,"#525252"
"laeus_johannes_viaf_uncertain","individual","male","Johannes Laeus","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"#525252"
"loeffelholz_von_colberg_martin_viaf_86025775","individual","male","Martin Löffelholz","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",1533,"1533-01-01",1,1533,"#525252"
"malon_gabriel_de_viaf_unknown","individual","male","Gabriel de Malon","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","unknown",NA,"0000-00-00",1,NA,"#525252"
