"Id"	"geonames_id"	"locations_name_modern"	"locations_name_in_edition"	"locations_modern_state"	"locations_modern_province"	"locations_lat"	"locations_lng"	"locations_ll_combined"	"locations_further_annotation"
"toledo_ES_gid_2510409"	"2510409"	"Toledo"	"Toledo"	"Spain"	"Castille-La Mancha"	"39.8581"	"-4.02263"	"39.8581, -4.02263"	NULL
"torgau_DE_gid_2821807"	"2821807"	"Torgau"	"Torgau"	"Germany"	"Saxony"	"51.56016"	"12.99617"	"51.56016, 12.99617"	NULL
"toulouse_FR_gid_2972315"	"2972315"	"Toulouse"	"Toulouse"	"France"	"Languedoc-Roussillon-Midi-Pyrénées "	"43.60426"	"1.44367"	"43.60426, 1.44367"	NULL
"tours_FR_gid_972191"	"2972191"	"Tours"	"Tours"	"France"	"Centre"	"47.38333"	"0.68333"	"47.38333, 0.68333"	NULL
"trento_IT_gid_3165243"	"3165243"	"Trento"	"Trient // Trent"	"Italy"	"Trentino-Alto Adige"	"46.06787"	"11.12108"	"46.06787, 11.12108"	NULL
"trier_DE_gid_2821164"	"2821164"	"Trier"	"Trier"	"Germany"	"Rheinland-Pfalz"	"49.75565"	"6.63935"	"49.75565, 6.63935"	NULL
"tübingen_DE_gid_2820860"	"2820860"	"Tübingen"	"Tübingen"	"Germany"	"Baden-Württemberg"	"48.52266"	"9.05222"	"48.52266, 9.05222"	NULL
"ulm_DE_gid_2820256"	"2820256"	"Ulm"	"Ulm"	"Germany"	"Baden-Württemberg"	"48.39841"	"9.99155"	"48.39841, 9.99155"	NULL
"valladolid_ES_gid_3106672"	"3106672"	"Valladolid"	"Valladolid"	"Spain"	"Castille and León"	"41.65518"	"-4.72372"	"41.65518, -4.72372"	NULL
"venice_IT_gid_3164603"	"3164603"	"Venice"	"Venedig"	"Italy"	"Veneto"	"45.43713"	"12.33265"	"45.43713, 12.33265"	NULL
"vienna_AT_gid_2761369"	"2761369"	"Vienna"	"Wien"	"Austria"	"Vienna"	"48.20849"	"16.37208"	"48.20849, 16.37208"	NULL
"waischenfeld_DE_gid_2815297"	"2815297"	"Waischenfeld"	"Waischenfeld"	"Germany"	"Bavaria"	"49.84645"	"11.3481"	"49.84645, 11.3481"	NULL
"weil_der_stadt_DE_gid_2812625"	"2812625"	"Weil der Stadt"	"Weil der Stadt"	"Germany"	"Baden-Württemberg"	"48.74953"	"8.87176"	"48.74953, 8.87176"	NULL
"weinsberg_DE_gid_2812158"	"2812158"	"Weinsberg"	"Weinsberg"	"Germany"	"Baden-Württemberg"	"49.15127"	"9.28762"	"49.15127, 9.28762"	NULL
"weißenburg_in_bayern_DE_gid_2811909"	"2811909"	"Weißenburg in Bayern"	"Weißenburg in Bayern"	"Germany"	"Bavaria"	"49.03095"	"10.97221"	"49.03095, 10.97221"	NULL
"wertheim_DE_gid_2810716"	"2810716"	"Wertheim"	"Wertheim"	"Germany"	"Baden-Württemberg"	"49.759"	"9.50852"	"49.759, 9.50852"	NULL
"wiener_neustadt_AT_gid_2761353"	"2761353"	"Wiener Neustadt"	"Wiener Neustadt"	"Austria"	"Lower Austria"	"47.8"	"16.25"	"47.8, 16.25"	NULL
"wiesensteig_DE_gid_2809214"	"2809214"	"Wiesensteig"	"Wiesensteig // Wiesensteig bei Göppingen"	"Germany"	"Baden-Württemberg"	"48.56127"	"9.6254"	"48.56127, 9.6254"	NULL
"wildberg_DE_gid_2809013"	"2809013"	"Wildberg"	"Wildberg/Württ."	"Germany"	"Baden-Württemberg"	"48.62336"	"8.74518"	"48.62336, 8.74518"	NULL
"wittenberg_DE_gid_7303020"	"7303020"	"Wittenberg"	"Wittenberg"	"Germany"	"Saxony-Anhalt"	"51.8661"	"12.64973"	"51.8661, 12.64973"	NULL
"wrocław_PL_gid_3081368"	"3081368"	"Wrocław"	"Breslau"	"Poland"	"Lower Silesian Voivodeship"	"51.1"	"17.03333"	"51.1, 17.03333"	NULL
"würzburg_DE_gid_2805615"	"2805615"	"Würzburg"	"Würzburg"	"Germany"	"Bavaria"	"49.79391"	"9.95121"	"49.79391, 9.95121"	NULL
"zeil_DE_gid_2805008"	"2805008"	"Zeil"	"Zeil am Main"	"Germany"	"Bavaria"	"50.00986"	"10.5947"	"50.00986, 10.5947"	NULL
"zürich_CH_gid_2657896"	"2657896"	"Zürich"	"Zürich"	"Switzerland"	"Zurich"	"47.36667"	"8.55"	"47.36667, 8.55"	NULL
