"recipient_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"56850d50-b9ad-4e1f-abb2-ffad12fb18c2","[Collegium Trilingue] [COE] // Collegium Trilingue [CWE] // Busleiden's College [ALLEN]","1531-03-17","1531-03-17"
"5751e796-b06a-4104-9a41-90dac38528cf","Tranquillus ANDRONICUS Parthenius [COE] // Tranquillus Andronicus Parthenius [CWE] // Andronicus, Tranquillus [ALLEN]","1519-06-28","1519-06-28"
"57987f38-4192-4c15-8d50-507e595440d2","Jan (I) ŁASKI [COE] // Jan (I) Łaski [CWE] // Lasky, John, Archbishop of Gniezno [ALLEN]","1527-08-13","1527-08-13"
"57cbdc43-7883-4d6a-9621-8c3645d470b7","Georgius AGRICOLA [COE] // Georgius Agricola [CWE] // Agricola, Georgius [ALLEN]","1531-08-29","1534-04-01"
"58a0c8a0-581e-4b61-885a-a264c02d2c00","Pier Paolo VERGERIO [COE] // Pier Paolo Vergerio [CWE] // Vergerio, Peter Paul [ALLEN]","1533-06-20","1533-06-20"
"58d839b4-7010-4072-b494-90a51cb6ec6e","Matthäus SCHINER [COE] // Matthäus Schiner [CWE] // Schinner, Matthew [ALLEN]","1520-12-16","1522-06-25"
"59471a6e-3536-49fb-b076-07494476b3f9","Francisco de VITORIA [COE] // Francisco de Vitoria [CWE] // Vitoria, Francisco de [ALLEN]","1527-11-29","1527-11-29"
"5a3be338-569a-4be8-94e5-47102afccaa3","[A Man of Lübeck] [COE] // A man of Lübeck [CWE] // A man of Lübeck [ALLEN]","1498-12-01","1498-12-01"
"5a53668b-98e8-4006-aecf-1d4d8123dc75","Richard WHITFORD [COE] // Richard Whitford [CWE] // Whitford, Richard [ALLEN]","1499-02-04","1506-05-01"
"5b5e958e-c327-4520-9492-a17f4e7047d1","[A Member of the Louvain Faculty of Theology] [COE] // A Member of the Louvain Faculty of Theology [CWE]","1520-01-01","1520-01-01"
"5bada621-84fe-4a4d-976b-65fa507ce499","Jean DESMAREZ [COE] // Jean Desmarez [CWE] // Paludanus, Joannes (Desmarais) [ALLEN]","1504-02-01","1516-11-01"
"5db60c17-a438-44d5-a51d-d37e07212e43","Louis de VERS [COE] // Louis de Vers [CWE] // Vers, Louis de [ALLEN]","1533-12-11","1535-10-07"
