"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"f7cb186f-067c-40f0-8f71-3084e779c023","Konrad NYDER [COE] // Konrad Nyder [CWE] // Nyder Eppingensis, Conrad [ALLEN]","1534-12-20","1534-12-20"
"59f9e1e3-bb94-496b-9c38-1de5ef804560","Giovanni Angelo ODONI [COE] // Giovanni Angelo Odoni [CWE] // Odonus, Joannes Angelus [ALLEN]","1535-03-01","1535-03-01"
"d022faa7-7836-4f3d-8080-d69ce4e2d56c","Luigi SPINOLA [COE] // Luigi Spinola [CWE] // Spinula, Luigi [ALLEN]","1535-04-06","1535-04-06"
"e0bab34d-d7ee-46a0-8f41-837f304e5ec1","Pier Paolo GUALTIERI [COE] // Pier Paolo Gualtieri [CWE] // Gualterius, Petrus Paulus [ALLEN]","1535-06-01","1535-06-01"
"b0c14844-ea6c-47f7-b9c3-22484bbe9cd6","Petr BECHYNĚ [COE] // Petr Bechyně [CWE] // Bechinius, Peter [ALLEN]","1535-06-24","1535-06-24"
"4bcf631b-f2c3-4384-8af3-f27b14198f07","Vincenzo MITELLI [COE] // Vincenzo Mitelli [CWE] // Metellus, Vincent [ALLEN]","1535-09-13","1535-09-13"
"0905df4c-eca7-4ac5-ae45-3bb42f294686","Johann Georg HÖRMANN [COE] // Johann Georg Hörmann [CWE] // Hermann, John George [ALLEN]","1535-12-11","1536-04-18"
"ebfb232d-871b-49dd-a8ff-89e711b63c15","Jean de BOYSSONÉ [COE] // Jean de Boyssoné [CWE] // Boyssoné, John de [ALLEN]","1536-01-23","1536-01-23"
"caaf92b9-cc60-4bee-8f5e-e546a331cfc2","Georg HÖRMANN [COE] // Georg Hörmann [CWE] // Hermann, George [ALLEN]","1536-01-29","1536-01-29"
"cab10d17-a66f-44eb-9df3-5f5a760aa8a3","Jacobus OMPHALIUS [COE] // Jacobus Omphalius [CWE] // Omphalius, Jacobus [ALLEN]","1536-02-10","1536-02-10"
"b751ec26-8219-4178-b378-4b0d9e66ee97","Josephus TECTANDER [COE] // Josephus Tectander [CWE] // Tectander, Josephus [ALLEN]","1536-08-16","1536-08-16"
"a2c98230-0b4d-4f38-8fab-d7bb44e1e473","Heinrich BEBEL [COE] // Heinrich Bebel [CWE] // Bebel, Henry [ALLEN]","1515-01-20","1515-01-20"
"7c21ae3e-a7f0-46a8-8ebb-db3dabe6de21","Nicolaus BASELLIUS [COE] // Nikolaus Basellius [CWE] // Basell, Nicholas [ALLEN]","1516-02-01","1516-02-01"
"759899d8-681b-4bde-ba1f-72a7e382dbf9","Georgius PRECELLIUS [COE] // Georgius Precellius [CWE] // Precell, George [ALLEN]","1516-04-05","1516-04-05"
"99c6a530-7893-4bad-b94e-5acf72e86d62","Pius Hieronymus BALDUNG [COE] // Pius Hieronymus Baldung [CWE] // Baldung, Jerome [ALLEN]","1516-04-24","1516-04-24"
"8c58bd73-9cea-4c19-a908-8ce80543ab31","Guilielmus BRIELIS [COE] // Guilielmus Brielis [CWE] // Brielis, William [ALLEN]","1516-06-20","1516-06-20"
"0469cf21-ca22-4d71-ac8a-bac8cf61e65f","Reyner SNOY [COE] // Reyner Snoy [CWE] // Snoy, Reyner [ALLEN]","1516-09-01","1516-09-01"
"d1c79bb4-e4b8-4e38-90a0-a9e2ff385487","Karel OFHUYS [COE] // Karel Ofhuys [CWE] // Ofhuys, Charles [ALLEN]","1516-10-30","1516-10-30"
"f1ec8c77-77ce-461a-811e-7ac2b7059ac9","Simon SCHAIDENREISSER [COE] // Simon of Sechsstädtebund [CWE] // Hexapolitanus, Simon [ALLEN]","1516-09-01","1516-09-01"
"41930020-d43d-41df-ac22-6a7478551821","Álvar GÓMEZ [COE] // Álvar Gómez [CWE] // Alvar [ALLEN]","1516-11-01","1516-11-01"
"fa00c782-da06-4d8d-a604-6fdd8bd83540","Augustijn AGGE [COE] // Augustinus Aggeus [CWE] // Agge, Augustinus (Aggeus) [ALLEN]","1517-01-10","1517-01-10"
"6f63bbd3-e2ca-4c88-abca-8cd5c2be51c3","Mariano ACCARDO [COE] // Mariano Accardo [CWE] // Accard, Marian [ALLEN]","1517-03-01","1517-04-01"
"54eebd8a-76ea-4e53-9c64-ac68cd88f11f","Hieronymus DUNGERSHEIM [COE] // Hieronymus Dungersheim [CWE] // Dunghersheym, Jerome [ALLEN]","1517-03-18","1517-03-18"
"2203a8e4-1fc5-4eb3-a532-1cca183aff96","Sebastiano GIUSTINIANI [COE] // Sebastiano Giustiniani [CWE] // Giustinian, Sebastian [ALLEN]","1517-03-01","1517-06-29"
"8f45efae-f9fc-4c28-9ae8-e39cb5bf2bda","Johannes AMMONIUS [COE] // Johannes Ammonius [CWE] // Harcaneus, J. / Hérinnes, John of, [ALLEN]","1517-04-06","1517-04-06"
"4c3a31c8-933f-4faa-9a0b-2654f1bcf3ba","Andrea TORRESANI [COE] // Andrea Torresani [CWE] // Asulanus, Andreas (A. Torresano) [ALLEN]","1517-06-21","1517-06-21"
"2f48aeb6-7fbe-47da-88fd-b09bfd56cff2","Niccolò SAGUNDINO [COE] // Niccolò Sagundino [CWE] // Sagundinus, Nicholas [ALLEN]","1517-06-22","1517-06-22"
"6ad65b32-0c34-4f83-986e-60847d5caa5f","Nicolas BARBIER [COE] // Nicolas Barbier [CWE] // Barbirius, Nicolaus [ALLEN]","1517-07-24","1517-07-24"
"b4cc2797-201e-49d4-b3a1-16c8a7b16b9e","Rutgerus SYCAMBER [COE] // Rutgerus Sycamber [CWE] // not included in ALLEN","1497-09-01","1497-09-01"
"544784aa-a650-4217-a461-101711f0e1cf","Symphorien CHAMPIER [COE] // Symphorien Champier [CWE] // Champerius, Symphorianus [ALLEN]","1517-09-01","1517-09-01"
"b027859d-7a61-4061-9463-af73f65026cb","Lambertus HOLLONIUS [COE] // Lambertus Hollonius [CWE] // Hollonius, Lambertus [ALLEN]","1518-12-05","1518-12-05"
"63fb2e8a-5bf8-4246-bf06-5dfc1ee61886","Lodovico RICCHIERI [COE] // Lodovico Ricchieri [CWE] // Caelius Rhodiginus (Ludovicus Caelius Richerius) [ALLEN]","1519-04-22","1519-04-22"
"245d8968-8f80-46a3-a1d3-5c8807c7a9c7","Rodrigo Tous de Monsalve","1533-01-01","1533-01-01"
