"recipient_id","First Letter From Erasmus","Last Letter From Erasmus"
"maldonado_juan_viaf_64018172","1527-03-30","1530-01-13"
"manius_petrus_viaf_unknown","1520-10-01","1520-10-01"
"manrique_de_lara_alfonso_viaf_89177082","1527-08-26","1530-03-31"
"manuzio_aldo_viaf_96325760","1507-10-28","1508-12-09"
"marcäus_helias_viaf_81341599","1518-01-01","1524-07-30"
"marck_antoine_de_la_viaf_unknown","1519-04-20","1520-02-16"
"marck_érard_de_la_viaf_20477461","1517-12-13","1530-09-07"
"marguerite_queen_consort_of_henry_ii_king_of_navarre_viaf_89797196","1525-09-28","1527-08-13"
"maria_queen_consort_of_louis_II_king_of_bohemia_and_hungary_viaf_77119805","1529-02-01","1533-06-01"
"marius_augustinus_viaf_64816093","1530-05-22","1530-05-22"
"marliano_luigi_viaf_160695839","1520-06-21","1521-04-15"
"martens_joachim_viaf_unknown","1528-09-16","1528-09-16"
"martinus_[corpus_era]_viaf_unknown","1498-07-01","1498-07-01"
"mauch_daniel_viaf_27887955","1525-10-10","1525-10-10"
"mauritszoon_jacob_viaf_unknown","1503-09-28","1506-11-04"
"maximilian_of_transylvania_viaf_21802698","1525-02-24","1525-11-08"
"maximilien_vere_marquis_viaf_35612401","1525-03-30","1529-07-23"
"mazzolini_silvestro_da_prierio_viaf_4903823","1523-01-01","1523-01-01"
"melanchthon_philipp_viaf_76319978","1519-04-22","1536-06-06"
"merbelius_petrus_viaf_unknown","1535-03-18","1535-03-18"
"merleberge_jan_vab_viaf_unknown","1518-01-01","1518-01-01"
"metz_chapter_of_cathedral_viaf_not_applicable","1519-07-14","1519-07-14"
"mexía_cristóbal_viaf_unknown","1530-03-30","1533-12-24"
"mexía_pedro_viaf_37733377","1530-03-30","1533-12-24"
"meyner_matthias_viaf_unknown","1520-07-30","1520-07-30"
"molendino_johannes_de_viaf_unknown","1518-01-01","1518-01-01"
"mombaer_jan_viaf_56632525","1497-02-04","1498-04-01"
"montini_floriano_viaf_uncertain","1525-05-16","1525-05-16"
"morel_désiré_viaf_unknown","1533-10-12","1533-10-12"
"more_john_viaf_88670570","1523-12-01","1531-02-27"
"more_thomas_sir_saint_viaf_29541174","1499-10-28","1529-09-05"
"morillon_guido_viaf_39363518","1524-03-25","1534-08-30"
"morin_jean_viaf_unknown","1531-11-30","1532-03-01"
"mornieu_pierre_de_viaf_unknown","1527-01-11","1531-04-02"
"mosham_ruprecht_von_viaf_20551741","1524-11-12","1524-11-12"
"mutianus_rufus_conradus_viaf_59879191","1518-10-17","1524-03-28"
"mykonius_oswald_viaf_22936778","1518-08-26","1518-08-26"
"nausea_friedrich_viaf_248203874","1525-05-13","1534-05-15"
"nesen_wilhelm_viaf_59901043","1516-09-05","1519-03-21"
"neuenar_hermann_graf_von_viaf_18164526","1517-08-25","1528-09-01"
"neve_jan_de_viaf_unknown","1514-08-01","1514-08-01"
"nicasius_[corpus_era]_viaf_unknown","1498-12-14","1498-12-14"
"nicola_felipe_viaf_unknown","1526-04-29","1526-04-29"
"noot_adolf_van_der_viaf_unknown","1536-05-29","1536-05-29"
"noot_jeroen_van_der_viaf_unknown","1522-07-14","1522-07-14"
"noot_joost_van_der_viaf_unknown","1520-01-07","1520-01-07"
