"correspondents_id","name_in_edition","Beginning of correspondence with Erasmus","End of the correspondence with Erasmus"
"vesuvius_nicolaus_viaf_unknown","Nicolaus VESUVIUS [COE] // Nicolaus Vesuvius [CWE] // Vesuvius, Nicholaus (Vidoveus) [ALLEN]","1527-02-08","1528-11-01"
"vianden_melchior_matthaei_of_viaf_unknown","Melchior Matthaei of VIANDEN [COE] // Melchior of Vianden [CWE] // Viandalus, Melchior (Viandulus) [ALLEN]","1524-02-25","1524-02-25"
"villani_bartolomeo_viaf_unknown","Bartolomeo VILLANI [COE] // Bartolomeo Villani [CWE] // Villanus, Bortholomeus [ALLEN]","1523-07-03","1523-07-03"
"villinger_jakob_viaf_42669581","Jakob VILLINGER [COE] // Jakob Villinger [CWE] // Villinger, James [ALLEN]","1520-10-03","1520-10-03"
"viromandus_hieronymus_viaf_unknown","Hieronymus VIROMANDUS [COE] // Hieronymus Viromandus [CWE] // Viromandus, Hieronymus [ALLEN]","1528-02-03","1528-02-03"
"vitoria_francisco_de_viaf_100255862","Francisco de VITORIA [COE] // Francisco de Vitoria [CWE] // Vitoria, Francisco de [ALLEN]","1527-11-29","1527-11-29"
"vitré_pierre_viaf_unknown","Pierre VITRÉ [COE] // Pierre Vitré [CWE] // Viterius, Petrus [ALLEN]","1516-08-02","1536-03-13"
"vives_juan_luis_viaf_71399403","Juan Luis VIVES [COE] // Juan Luis Vives [CWE] // Vives, John Louis [ALLEN]","1519-03-17","1534-05-10"
"vlatten_johann_von_viaf_192938582","Johann von VLATTEN [COE] // Johann von Vlatten [CWE] // Vlatten, John [ALLEN]","1523-10-01","1533-07-25"
"voecht_jacob_de_viaf_283116155","Jacob de VOECHT [COE] // Jacob Voogd [CWE] // Tutor, James (Voecht) [ALLEN]","1501-07-02","1519-09-10"
"volz_paul_viaf_59903208","Paul VOLZ [COE] // Paul Volz [CWE] // Volz, Paul [ALLEN]","1515-10-30","1536-04-12"
"vulcanius_petrus_viaf_283253600","Petrus VULCANIUS [COE] // Petrus Vulcanius [CWE] // Vulcanius, Petrus [ALLEN]","1531-03-18","1533-04-20"
"wain_gervasius_viaf_253292025","Gervasius WAIN [COE] // Gervasius Wain [CWE] // Wain, Gervase [ALLEN]","1527-10-09","1528-08-16"
"walkden_humprey_viaf_unknown","Humphrey WALKDEN [COE] // Humphrey Walkden [CWE] // Walkden, Humphrey (Omfridus) [ALLEN]","1513-10-01","1513-10-01"
"warham_william_viaf_58070815","William WARHAM [COE] // William Warham [CWE] // Warham, William [ALLEN]","1506-01-24","1528-03-08"
"warnerszoon_claes_viaf_unknown","Claes WARNERSZOON [COE] // Nicolaas Werner [CWE] // Werner, Nicholas [ALLEN]","1496-09-13","1502-09-01"
"wary_nicolas_viaf_unknown","Nicolas WARY [COE] // Nicolas Wary [CWE] // Varius, Nicolaus [ALLEN]","1526-09-26","1528-03-19"
"watson_john_viaf_unknown","John WATSON [COE] // John Watson [CWE] // Watson, John [ALLEN]","1516-08-13","1517-04-01"
"wattenwyl_niklaus_von_viaf_100404663","Nikolaus von WATTENWYL [COE] // Nikolaus von Wattenwyl [CWE] // Wattenwyl, Nicholas of [ALLEN]","1522-03-07","1522-03-07"
"welser_bartholomäus_viaf_42633711","Bartholomäus WELSER [COE] // Bartholomäus Welser [CWE] // Welser, Bartholomew [ALLEN]","1529-05-03","1529-05-03"
"wentford_roger_viaf_unknown","Roger WENTFORD [COE] // Roger Wentford [CWE] // Wentford, Roger [ALLEN]","1506-06-12","1518-04-24"
"werter_johann_viaf_unknown","Johann WERTER [COE] // Johann Werter [CWE] // Werter, John [ALLEN]","1518-10-19","1518-10-19"
"whitford_richard_viaf_7440509","Richard WHITFORD [COE] // Richard Whitford [CWE] // Whitford, Richard [ALLEN]","1499-02-04","1506-05-01"
"wichmans_peter_viaf_unknown","Pieter WICHMANS [COE] // Pieter Wichmans [CWE] // Wychman, Peter [ALLEN]","1521-08-29","1523-03-22"
"widmanstetter_johann_albrecht_viaf_100214715","Johann Albrecht WIDMANSTETTER [COE] // Johann Albrecht Widmanstetter [CWE] // Widmanstetter, Johann Albrecht (Lucretius) [ALLEN]","1532-03-01","1532-03-01"
"wied_hermann_von_viaf_71607602","Hermann von WIED [COE] // Hermann von Wied [CWE] // Wied, Hermann von [ALLEN]","1528-03-19","1528-05-25"
"wiele_adriaan_viaf_291687111","Adriaan WIELE [COE] // Adriaan Wiele [CWE] // Wiele, Adrian [ALLEN]","1530-11-16","1530-11-16"
"wilhelm_v_herzog_von_kleve_jülich_berg_viaf_291388445","William V, duke of CLEVES-Mark-Jülich-Berg [COE] // William, duke of Cleves [CWE] // Cleves, William, Duke of [ALLEN]","1529-07-01","1532-01-01"
"wimpheling_jakob_viaf_19699237","Jakob WIMPFELING [COE] // Jakob Wimpfeling [CWE] // Wimpfeling, James [ALLEN]","1511-08-19","1524-11-25"
"winckele_jan_van_viaf_unknown","Jan van WINCKELE [COE] // Jan van Winckele [CWE] // Jan van Winckele [ALLEN]","1519-10-01","1519-10-01"
"winckel_pieter_viaf_unknown","Pieter WINCKEL [COE] // Pieter Winckel [CWE] // Winckel, Peter [ALLEN]","1484-11-01","1484-11-01"
"wingfield_richard_viaf_unknown","Richard WINGFIELD [COE] // Sir Richard Wingfield [CWE] // Wingfield, Sir Richard [ALLEN]","1518-03-05","1518-03-05"
"winnmann_nikolaus_viaf_39729055","Nikolaus WINMANN [COE] // Nikolaus Winmann [CWE] // Winman, Nicolas [ALLEN]","1531-03-03","1531-04-16"
"witzel_georg_viaf_5033354","Georg WITZEL [COE] // Georg Witzel [CWE] // Witzel, Georg [ALLEN]","1532-09-08","1533-03-30"
"wolsey_thomas_viaf_22937889","Thomas WOLSEY [COE] // Thomas Wolsey [CWE] // Wolsey, Thomas [ALLEN]","1514-01-04","1526-04-25"
"yonge_john_viaf_194704149","John YONGE [COE] // John Yonge [CWE] // Yonge, John [ALLEN]","1513-01-01","1513-01-01"
"zasius_ulrich_viaf_61645489","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","1514-09-07","1534-07-27"
"zebrzydowski_andrzej_viaf_31698046","Andrzej ZEBRZYDOWSKI [COE] // Andrzej Zebrzydowski [CWE] // Zebrzydowski, Andreas [ALLEN]","1527-05-21","1528-12-23"
"ziegler_jakob_viaf_15074694","Jakob ZIEGLER [COE] // Jakob Ziegler [CWE] // Ziegler, Jakob (Landavus Bavarus) [ALLEN]","1522-02-16","1522-12-22"
"zimmermann_joseph_viaf_51846661","Josephus TECTANDER [COE] // Josephus Tectander [CWE] // Tectander, Josephus [ALLEN]","1536-08-16","1536-08-16"
"zobel_von_giebelstadt_theoderich_viaf_unknown","Theoderich ZOBEL von Giebelstadt [COE] // Theoderich Zobel von Giebelstadt [CWE] // Zobel, Theodoric [ALLEN]","1528-02-09","1528-02-09"
"zurich_town_council_of_viaf_not_applicable","[Town Council of Zurich] [COE] // The Town Council of Zürich [CWE] // Zurich Town Council [ALLEN]","1523-08-10","1523-08-10"
"zuutpene_pieter_viaf_unknown","Pieter ZUUTPENE [COE] // Pieter Zuutpene [CWE] // Zutpenius, Peter [ALLEN]","1519-08-10","1519-08-10"
"zwingli_ulrich_viaf_71399367","Huldrych ZWINGLI [COE] // Huldrych Zwingli [CWE] // Zwingli, Ulrich [ALLEN]","1516-04-29","1523-08-31"
"łaski_hieronim_viaf_161930274","Hieronim ŁASKI [COE] // Hieronim Łaski [CWE] // Lasky, Hieroslaus (Hieronymus) [ALLEN]","1524-10-01","1526-09-09"
"łaski_jan_(1)_viaf_54138660","Jan (I) ŁASKI [COE] // Jan (I) Łaski [CWE] // Lasky, John, Archbishop of Gniezno [ALLEN]","1527-08-13","1527-08-13"
"łaski_jan_(2)_viaf_222145667146705170005","Jan (II) ŁASKI [COE] // Jan (II) Łaski [CWE] // Lasky, John, The Reformer [ALLEN]","1526-03-08","1534-03-05"
