"correspondents_id","name_in_edition","Beginning of correspondence with Erasmus","End of the correspondence with Erasmus"
"briard_jean_viaf_15086346","Jan BRIART [COE] // Jan Briart [CWE] // Briard, John (Atensis) [ALLEN]","1517-09-16","1519-04-22"
"brielis_guilielmus_viaf_unknown","Guilielmus BRIELIS [COE] // Guilielmus Brielis [CWE] // Brielis, William [ALLEN]","1516-06-20","1516-06-20"
"brie_germain_de_viaf_227062191","Germain de BRIE [COE] // Germain de Brie [CWE] // Brie, Germain de [ALLEN]","1517-04-06","1532-10-01"
"brodarics_istván_viaf_64438742","István BRODARICS [COE] // István Brodarics [CWE] // Brodericus, Stefanus [ALLEN]","1529-06-09","1529-06-09"
"brugnard_antoine_viaf_unknown","Antoine BRUGNARD [COE] // Antoine Brugnard [CWE] // Brugnarius, Antonius [ALLEN]","1522-11-04","1524-10-27"
"brunfels_otto_viaf_34489382","Otto BRUNFELS [COE] // Otto von Brunfels [CWE] // Brunfels, Otho [ALLEN]","1523-12-01","1525-09-01"
"bucer_martin_viaf_2478527","Martin BUCER [COE] // Martin Bucer [CWE] // Bucer, Martin [ALLEN]","1527-11-11","1532-03-02"
"budé_guillaume_viaf_105878228","Guillaume BUDÉ [COE] // Guillaume Budé [CWE] // Budaeus, Guilhelmus (Budé, Guillaume) [ALLEN]","1516-05-01","1528-09-06"
"bullock_henry_viaf_29103155","Henry BULLOCK [COE] // Henry Bullock [CWE] // Bullock, Henry (Bovillus) [ALLEN]","1516-08-13","1518-10-23"
"burbank_william_viaf_unknown","William BURBANK [COE] // William Burbank [CWE] // Burbank, William [ALLEN]","1520-09-01","1520-09-01"
"burgauer_benedikt_viaf_170699214","Benedikt BURGAUER [COE] // Benedikt Burgauer [CWE] // Burgower, Benedict [ALLEN]","1528-10-16","1528-10-16"
"burgundy_henry_of_viaf_unknown","Henry of BURGUNDY [COE] // Henry of Burgundy [CWE] // Burgundy, Henry of [ALLEN]","1530-03-01","1530-03-01"
"burgundy_nicolas_of_viaf_unknown","Nicholas de BURGUNDY [COE] // Nicolas of Burgundy [CWE] // Burgundy, Nicholas of [ALLEN]","1501-01-26","1501-01-26"
"busche_hermann_von_dem_viaf_27087291","Hermannus BUSCHIUS [COE] // Hermann von dem Busche [CWE] // Busch, Hermann [ALLEN]","1518-04-23","1520-07-31"
"buscoducensis_nicolas_viaf_167110308","Nicolaas van BROECKHOVEN [COE] // Nicolaas van Broeckhoven [CWE] // Hertogenbosch, Nicholas of (Busciducus) [ALLEN]","1521-08-31","1523-11-05"
"busleyden_gilles_de_viaf_unknown","Gilles de BUSLEYDEN [COE] // Gilles de Busleyden [CWE] // Busleiden, Gilles de [ALLEN]","1517-10-19","1531-12-15"
"busleyden_jérome_de_viaf_13120229","Jérôme de BUSLEYDEN [COE] // Jérôme de Busleyden [CWE] // Busleiden, Jerome de [ALLEN]","1506-11-17","1516-11-09"
"caduceator_henricus_viaf_unknown","Henricus CADUCEATOR [COE] // Henricus Caduceator [CWE] // Caduceator, Henry [ALLEN]","1527-04-18","1527-06-10"
"caesarius_johannes_viaf_144319","Johannes CAESARIUS [COE] // Johannes Caesarius [CWE] // Caesarius, Joannes [ALLEN]","1515-12-03","1535-03-29"
"cajetan_tommaso_de_vio_viaf_49196005","Tommaso de Vio, Cardinal CAJETANUS [COE] // Tommaso de Vio, Cardinal Cajetanus [CWE] // Vio, Tommaso de (Caietano) [ALLEN]","1532-07-23","1532-07-23"
"calcagnini_celio_viaf_76366882","Celio CALCAGNINI [COE] // Celio Calcagnini [CWE] // Calcagnini, Celio [ALLEN]","1525-05-13","1533-09-17"
"calvo_francesco_viaf_304955328","Francesco Giulio CALVO [COE] // Francesco Minuzio Calvo [CWE] // Calvus, Franciscus Julius (afterwards Minutius) [ALLEN]","1525-08-31","1525-08-31"
"camerarius_joachim_viaf_2495607","Joachim CAMERARIUS [COE] // Joachim Camerarius [CWE] // Camerarius, Joachim the elder [ALLEN]","1524-09-30","1528-02-05"
"caminadus_augustinus_vincentius_viaf","Augustinus Vencentius CAMINADUS [COE] // Augustin Vincent [CWE] // Vincent, Augustine (Caminadus) [ALLEN]","1500-09-10","1501-07-15"
"cammingha_haio_viaf_unknown","Haio CAMMINGHA [COE] // Haio Cammingha [CWE] // Cammyngha, Haio [ALLEN]","1528-11-12","1533-09-02"
"campeggi_lorenzo_viaf_9837370","Lorenzo CAMPEGGI [COE] // Lorenzo Campeggi [CWE] // Campegio, Lorenzo [ALLEN]","1519-05-01","1531-12-02"
"campen_jan_van_viaf_7729157","Jan van CAMPEN [COE] // Jan van Campen [CWE] // John Campensis [ALLEN]","1532-03-20","1532-03-20"
"canossa_lodovico_viaf_20611230","Ludovico CANOSSA [COE] // Luigi di Canossa [CWE] // Canossa, Ludevicus de [ALLEN]","1516-11-13","1517-02-24"
"canta_jacobo_viaf_unknown","Jacopo CANTA [COE] // Jacopo Canta [CWE] // Canta, James [ALLEN]","1532-01-01","1532-01-01"
"canter_jacobus_viaf_810331","Jacob CANTER [COE] // Jacob Canter [CWE] // Canter, James [ALLEN]","1489-11-01","1489-11-01"
"cantiuncula_claudius_viaf_74646923","Claudius CANTIUNCULA [COE] // Claudius Cantiuncula [CWE] // Cantiuncula, Claudius [ALLEN]","1525-09-01","1529-12-07"
"capito_wolfgang_viaf_61578502","Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]","1516-09-02","1524-09-02"
"carinus_ludwig_viaf_27885311","Ludovicus CARINUS [COE] // Ludovicus Carinus [CWE] // Carinus, Ludovicus (Carcinus, Kiel) [ALLEN]","1519-02-27","1527-03-24"
"carlowitz_christoph_von_viaf_23195303","Christoph von CARLOWITZ [COE] // Christoph von Carlowitz [CWE] // Carlowitz, Christoph [ALLEN]","1528-07-16","1530-07-07"
"carondelet_ferry_viaf_55078138","Ferry de CARONDELET [COE] // Ferry de Carondelet [CWE] // Carandolet, Ferry [ALLEN]","1526-09-07","1528-06-25"
"carondelet_jean_viaf_35387645","Jean (II) de CARONDELET [COE] // Jean de Carondelet [CWE] // Carandolet, Jean [ALLEN]","1522-04-23","1534-03-08"
"casali_battista_viaf_4293346","Battista CASALI [COE] // Battista Casali [CWE] // Casalius, Baptista [ALLEN]","1522-04-02","1522-04-02"
"casembroot_leonard_viaf_unknown","Leonard CASEMBROOT [COE] // Leonard Casembroot [CWE] // Casembroot, Leonard [ALLEN]","1525-08-23","1526-06-06"
"cassander_franciscus_viaf_unknown","Franciscus CASSANDER [COE] // Franciscus Cassander [CWE] // Cassander, Francis [ALLEN]","1530-03-28","1531-03-06"
"catharine_of_aragon_queen_consort_of_henry_viii_king_of_england_viaf_13102140","CATHERINE of Aragon [COE] // Catherine of Aragon [CWE] // Katherine of Aragon, Queen of England [ALLEN]","1526-07-15","1528-03-01"
"ceratinus_jacobus_viaf_62367114","Jacobus CERATINUS [COE] // Jacobus Ceratinus [CWE] // Ceratinus, Jacobus (Teyng) [ALLEN]","1527-07-01","1527-07-01"
"champier_symphorien_viaf_88038642","Symphorien CHAMPIER [COE] // Symphorien Champier [CWE] // Champerius, Symphorianus [ALLEN]","1517-09-01","1517-09-01"
"chapuys_eustache_viaf_229692087","Eustache CHAPUYS [COE] // Eustache Chapuys [CWE] // Chapuys, Eustache de [ALLEN]","1533-04-23","1536-02-01"
"charles_iii_duke_of_savoy_viaf_41706196","Charles III, duke of SAVOY [COE] // Charles III, duke of Savoy [CWE] // Savoy, Charles III, duke of [ALLEN]","1527-10-14","1527-10-14"
