"recipient_id","Number of letters sent from Erasmus to this correspondent"
"bartolini_riccardo_viaf_15583224","1"
"hillweg_theobald_viaf_unknown","1"
"wain_gervasius_viaf_253292025","1"
"leontius_[corpus_era]_viaf_unknown","1"
"angleberme_jean_pyrrhus_de_viaf_59228519","1"
"rivulo_adrianus_a_viaf_unknown","1"
"patron_a_[corpus_era]_viaf_unknown","1"
"batt_cornelis_viaf_unknown","1"
"montini_floriano_viaf_uncertain","1"
"frederiks_willem_viaf_unknown","1"
"ruzé_louis_viaf_306487693","1"
"apocellus_jacobus_viaf_unknown","1"
"zuutpene_pieter_viaf_unknown","1"
"crocus_cornelius_viaf_8306045","1"
"aytta_bernhard_bucho_van_viaf_unknown","1"
"courtebourne_pierre_de_viaf_unknown","1"
"dancaster_william_viaf_unknown","1"
"heresbach_conrad_viaf_5740065","1"
"dantyszek_jan_viaf_5031671","1"
"piso_jacob_viaf_46572011","1"
"noot_joost_van_der_viaf_unknown","1"
