"ModernState","Year","NoEppSentFromEra","NoEppSentToEra"
"Hungary","1512","NULL","NULL"
"Portugal","1512","NULL","NULL"
"Slovakia","1512","NULL","NULL"
"Netherlands","1513","NULL","NULL"
"Switzerland","1513","NULL","NULL"
"Czech Republic","1513","NULL","NULL"
"Germany","1513","NULL","NULL"
"Spain","1513","NULL","NULL"
"Poland","1513","NULL","NULL"
"United Kingdom","1513","14","1"
"Austria","1513","NULL","NULL"
"France","1513","NULL","NULL"
"Italy","1513","NULL","NULL"
"Unknown","1513","NULL","NULL"
"Belgium","1513","NULL","NULL"
"Hungary","1513","NULL","NULL"
"Portugal","1513","NULL","NULL"
"Slovakia","1513","NULL","NULL"
"Netherlands","1514","1","1"
"Switzerland","1514","NULL","1"
"Czech Republic","1514","NULL","NULL"
"Germany","1514","4","7"
"Spain","1514","NULL","NULL"
"Poland","1514","NULL","NULL"
"United Kingdom","1514","8","2"
"Austria","1514","NULL","NULL"
"France","1514","3","2"
"Italy","1514","NULL","NULL"
"Unknown","1514","NULL","NULL"
"Belgium","1514","5","1"
"Hungary","1514","NULL","NULL"
"Portugal","1514","NULL","NULL"
"Slovakia","1514","NULL","NULL"
"Netherlands","1515","NULL","NULL"
"Switzerland","1515","1","5"
"Czech Republic","1515","NULL","NULL"
"Germany","1515","8","12"
"Spain","1515","NULL","NULL"
"Poland","1515","NULL","NULL"
"United Kingdom","1515","5","1"
"Austria","1515","NULL","NULL"
"France","1515","1","13"
"Italy","1515","3","2"
"Unknown","1515","1","NULL"
"Belgium","1515","3","4"
"Hungary","1515","NULL","NULL"
"Portugal","1515","NULL","NULL"
"Slovakia","1515","NULL","NULL"
"Netherlands","1493","NULL","2"
"Switzerland","1493","NULL","NULL"
"Czech Republic","1493","NULL","NULL"
"Germany","1493","NULL","NULL"
"Spain","1493","NULL","NULL"
"Poland","1493","NULL","NULL"
"United Kingdom","1493","NULL","NULL"
"Austria","1493","NULL","NULL"
"France","1493","NULL","NULL"
"Italy","1493","NULL","NULL"
"Unknown","1493","NULL","NULL"
"Belgium","1493","NULL","NULL"
"Hungary","1493","NULL","NULL"
"Portugal","1493","NULL","NULL"
"Slovakia","1493","NULL","NULL"
"Netherlands","1494","4","NULL"
"Switzerland","1494","NULL","NULL"
"Czech Republic","1494","NULL","NULL"
"Germany","1494","NULL","NULL"
"Spain","1494","NULL","NULL"
"Poland","1494","NULL","NULL"
"United Kingdom","1494","NULL","NULL"
"Austria","1494","NULL","NULL"
"France","1494","NULL","NULL"
"Italy","1494","NULL","NULL"
"Unknown","1494","NULL","NULL"
"Belgium","1494","NULL","NULL"
"Hungary","1494","NULL","NULL"
"Portugal","1494","NULL","NULL"
"Slovakia","1494","NULL","NULL"
"Netherlands","1516","NULL","4"
"Switzerland","1516","6","9"
"Czech Republic","1516","NULL","NULL"
"Germany","1516","8","11"
"Spain","1516","NULL","NULL"
"Poland","1516","NULL","NULL"
"United Kingdom","1516","16","24"
"Austria","1516","NULL","NULL"
"France","1516","5","15"
"Italy","1516","3","NULL"
"Unknown","1516","NULL","1"
"Belgium","1516","9","11"
"Hungary","1516","NULL","NULL"
"Portugal","1516","NULL","NULL"
"Slovakia","1516","NULL","NULL"
"Netherlands","1495","1","NULL"
"Switzerland","1495","NULL","NULL"
"Czech Republic","1495","NULL","NULL"
"Germany","1495","NULL","NULL"
"Spain","1495","NULL","NULL"
"Poland","1495","NULL","NULL"
"United Kingdom","1495","NULL","NULL"
"Austria","1495","NULL","NULL"
"France","1495","2","3"
"Italy","1495","NULL","NULL"
"Unknown","1495","NULL","NULL"
"Belgium","1495","NULL","NULL"
"Hungary","1495","NULL","NULL"
"Portugal","1495","NULL","NULL"
"Slovakia","1495","NULL","NULL"
"Netherlands","1496","1","NULL"
"Switzerland","1496","NULL","NULL"
"Czech Republic","1496","NULL","NULL"
"Germany","1496","NULL","NULL"
"Spain","1496","NULL","NULL"
"Poland","1496","NULL","NULL"
"United Kingdom","1496","NULL","NULL"
"Austria","1496","NULL","NULL"
"France","1496","1","NULL"
"Italy","1496","NULL","NULL"
"Unknown","1496","NULL","NULL"
"Belgium","1496","NULL","NULL"
"Hungary","1496","NULL","NULL"
"Portugal","1496","NULL","NULL"
"Slovakia","1496","NULL","NULL"
"Netherlands","1497","1","NULL"
"Switzerland","1497","NULL","NULL"
"Czech Republic","1497","NULL","NULL"
"Germany","1497","NULL","NULL"
"Spain","1497","NULL","NULL"
"Poland","1497","NULL","NULL"
"United Kingdom","1497","NULL","NULL"
"Austria","1497","NULL","NULL"
"France","1497","10","NULL"
"Italy","1497","NULL","NULL"
"Unknown","1497","4","1"
"Belgium","1497","1","NULL"
"Hungary","1497","NULL","NULL"
"Portugal","1497","NULL","NULL"
"Slovakia","1497","NULL","NULL"
"Netherlands","1517","10","4"
"Switzerland","1517","18","12"
"Czech Republic","1517","NULL","NULL"
"Germany","1517","13","20"
"Spain","1517","2","NULL"
"Poland","1517","NULL","NULL"
"United Kingdom","1517","17","14"
"Austria","1517","NULL","NULL"
"France","1517","26","15"
"Italy","1517","5","5"
"Unknown","1517","2","NULL"
"Belgium","1517","42","26"
"Hungary","1517","NULL","NULL"
"Portugal","1517","NULL","NULL"
"Slovakia","1517","NULL","NULL"
"Netherlands","1498","5","NULL"
"Switzerland","1498","NULL","NULL"
"Czech Republic","1498","NULL","NULL"
"Germany","1498","3","NULL"
"Spain","1498","NULL","NULL"
"Poland","1498","NULL","NULL"
"United Kingdom","1498","NULL","NULL"
"Austria","1498","NULL","NULL"
"France","1498","7","1"
"Italy","1498","NULL","NULL"
"Unknown","1498","2","NULL"
"Belgium","1498","1","NULL"
"Hungary","1498","NULL","NULL"
"Portugal","1498","NULL","NULL"
"Slovakia","1498","NULL","NULL"
