"send_date_computable1","NoEppSentFromEra"
"1533-09-08","1"
"1533-09-09","1"
"1514-02-14","1"
"1533-10-12","1"
"1533-10-19","1"
"1533-11-01","1"
"1533-11-06","1"
"1533-11-07","2"
"1533-11-18","1"
"1533-11-19","3"
"1514-03-14","1"
"1533-11-30","1"
"1533-12-01","1"
"1533-12-08","1"
"1533-12-10","1"
"1533-12-11","2"
"1514-04-01","1"
"1533-12-24","1"
"1534-01-23","4"
"1534-02-04","1"
"1534-02-17","1"
"1534-02-19","1"
"1534-03-05","1"
"1534-03-11","2"
"1534-03-13","1"
"1534-03-01","1"
"1534-04-01","1"
"1534-04-11","2"
"1514-04-28","1"
"1534-04-22","1"
"1534-04-23","2"
"1534-04-25","2"
"1534-04-27","1"
"1514-06-01","1"
"1534-05-11","1"
"1534-05-15","1"
"1514-07-01","2"
"1534-06-04","1"
"1534-06-11","1"
"1534-06-14","1"
"1514-07-08","2"
"1534-07-03","1"
"1534-07-30","1"
"1534-07-31","1"
"1534-08-16","1"
"1534-08-22","1"
"1534-08-25","1"
"1534-08-30","1"
"1534-09-27","1"
"1534-10-06","1"
"1534-10-31","1"
"1534-11-13","1"
"1534-11-24","1"
"1514-08-01","1"
"1534-11-28","1"
"1534-12-06","1"
"1534-01-01","1"
"1535-01-11","1"
"1535-01-23","1"
"1514-08-02","1"
"1535-02-08","1"
"1535-02-13","2"
"1535-02-18","1"
"1535-02-21","2"
"1514-08-15","1"
"1535-02-28","1"
"1535-03-01","1"
"1535-03-18","1"
"1514-08-30","1"
"1535-04-16","1"
"1535-05-01","1"
"1535-05-07","1"
"1535-05-19","1"
"1535-05-21","1"
"1535-06-18","1"
"1535-06-28","1"
"1535-06-30","1"
"1535-08-01","1"
"1535-08-05","1"
"1535-08-06","1"
"1535-08-18","1"
"1535-08-20","1"
"1535-08-24","1"
"1535-08-31","1"
"1514-09-21","1"
"1535-09-01","1"
"1535-09-02","1"
"1535-09-06","1"
"1535-09-12","1"
"1535-09-21","1"
"1535-10-07","1"
"1535-10-12","1"
"1535-10-16","1"
"1535-10-23","2"
"1514-09-23","1"
"1535-12-15","2"
"1514-09-01","1"
"1536-01-02","1"
"1536-01-24","1"
"1536-01-27","2"
"1536-02-01","1"
"1536-02-09","1"
"1536-02-12","1"
"1536-02-14","1"
"1536-03-11","1"
"1536-03-13","1"
"1536-03-15","1"
"1536-03-16","2"
"1514-10-15","2"
"1536-05-17","1"
"1536-05-29","1"
"1536-06-01","1"
"1536-06-06","2"
"1514-10-18","1"
"1536-06-28","1"
"1489-11-01","1"
"1515-01-24","1"
"1515-03-01","2"
"1515-03-07","1"
"1515-04-13","1"
"1515-05-07","1"
"1515-05-15","2"
"1515-05-21","1"
"1515-05-20","1"
"1515-08-01","1"
"1515-08-30","1"
"1515-09-04","1"
"1515-09-01","1"
"1515-09-22","1"
"1515-10-02","1"
"1515-10-01","2"
"1515-10-16","1"
"1494-03-01","1"
"1515-12-23","2"
"1515-12-01","1"
"1516-02-01","1"
"1516-02-03","1"
"1494-01-01","3"
"1516-02-14","1"
