"send_date_computable1","NoEppSentToEra"
"1516-06-30","1"
"1516-07-01","1"
"1516-07-06","1"
"1516-07-07","1"
"1516-07-08","1"
"1495-09-24","1"
"1516-07-14","1"
"1516-07-18","1"
"1516-08-02","1"
"1516-08-05","1"
"1516-08-13","2"
"1516-08-19","1"
"1516-08-20","1"
"1516-09-01","2"
"1516-09-02","1"
"1495-10-07","1"
"1516-09-03","2"
"1516-09-05","2"
"1516-09-20","1"
"1516-09-22","1"
"1516-09-06","2"
"1516-09-29","1"
"1516-10-20","1"
"1516-10-22","1"
"1516-10-30","1"
"1516-10-31","1"
"1516-11-09","1"
"1516-11-11","1"
"1516-11-12","3"
"1516-11-13","2"
"1516-11-26","1"
"1516-11-25","1"
"1516-11-20","2"
"1516-12-04","2"
"1516-12-01","1"
"1516-12-11","1"
"1516-12-15","1"
"1516-12-18","1"
"1516-12-28","1"
"1516-11-01","1"
"1517-01-04","1"
"1517-01-01","3"
"1517-01-10","1"
"1517-01-13","1"
"1517-01-18","1"
"1517-01-26","2"
"1517-01-30","1"
"1517-01-31","1"
"1517-02-05","1"
"1517-02-06","3"
"1517-02-01","2"
"1517-02-18","1"
"1517-03-01","3"
"1517-03-08","1"
"1517-03-10","1"
"1517-03-15","1"
"1517-03-18","1"
"1517-03-20","1"
"1517-03-22","2"
"1517-03-24","3"
"1517-03-27","2"
"1517-04-01","2"
"1517-04-03","1"
"1517-04-05","1"
"1517-04-06","2"
"1517-04-22","2"
"1517-04-24","1"
"1517-04-30","1"
"1517-05-01","1"
"1517-05-04","1"
"1517-05-10","1"
"1517-05-11","1"
"1517-06-04","1"
"1517-06-05","1"
"1517-06-21","2"
"1517-06-22","1"
"1517-06-29","1"
"1517-06-01","2"
"1517-07-08","2"
"1517-07-13","2"
"1517-07-15","1"
"1517-07-16","1"
"1517-07-17","1"
"1517-07-20","2"
"1517-07-21","1"
"1517-07-24","2"
"1517-07-30","1"
"1517-08-03","1"
"1517-08-05","2"
"1517-08-12","1"
"1517-08-19","2"
"1517-08-28","1"
"1517-08-01","1"
"1497-09-01","1"
"1517-09-13","2"
"1517-09-14","1"
"1517-09-15","1"
"1517-09-17","1"
"1498-01-01","1"
"1517-09-22","1"
"1517-09-01","1"
"1517-09-27","1"
"1517-10-07","1"
"1517-10-03","1"
"1517-10-25","1"
"1517-11-05","1"
"1517-11-12","1"
"1517-11-13","1"
"1517-12-05","1"
"1517-12-06","2"
"1517-12-21","1"
"1517-12-30","1"
"1517-12-31","1"
"1518-01-07","1"
"1518-02-02","1"
"1518-02-01","1"
"1518-03-02","1"
"1518-03-15","2"
"1518-04-12","1"
"1518-04-20","1"
"1518-05-01","1"
"1518-05-24","1"
"1518-06-19","1"
"1518-06-20","2"
"1518-07-14","1"
"1518-07-19","1"
"1518-08-13","1"
"1518-08-31","1"
"1518-09-10","1"
"1518-10-01","1"
"1518-10-06","1"
"1518-10-31","1"
"1518-11-01","1"
"1518-12-05","1"
"1518-01-01","1"
"1519-01-05","1"
"1519-01-06","1"
"1519-02-01","1"
"1519-02-14","1"
"1519-03-06","2"
"1519-03-16","2"
"1519-03-19","1"
"1519-03-28","2"
"1519-04-05","1"
"1519-04-08","1"
"1519-04-22","1"
"1519-04-26","1"
"1519-05-01","1"
"1519-05-14","1"
"1519-05-23","1"
"1519-05-28","1"
"1519-05-30","1"
"1519-06-05","1"
"1519-06-10","1"
"1519-06-13","1"
"1519-06-20","1"
"1519-06-30","1"
"1519-07-04","1"
"1531-08-11","1"
"1531-08-22","1"
