"recipient_id","Number of locations this correspondent receives letters at"
"more_thomas_sir_saint_viaf_29541174","5"
"morillon_guido_viaf_39363518","1"
"morin_jean_viaf_unknown","1"
"mornieu_pierre_de_viaf_unknown","2"
"mosham_ruprecht_von_viaf_20551741","1"
"mutianus_rufus_conradus_viaf_59879191","1"
"mykonius_oswald_viaf_22936778","1"
"nausea_friedrich_viaf_248203874","5"
"nesen_wilhelm_viaf_59901043","2"
"neuenar_hermann_graf_von_viaf_18164526","1"
"neve_jan_de_viaf_unknown","1"
"nicasius_[corpus_era]_viaf_unknown","1"
"nicola_felipe_viaf_unknown","1"
"noot_adolf_van_der_viaf_unknown","1"
"noot_jeroen_van_der_viaf_unknown","1"
"noot_joost_van_der_viaf_unknown","1"
"northoff_christian_viaf_unknown","2"
"obrecht_jan_viaf_unknown","1"
"oecolampadius_johann_viaf_56634092","4"
"oem_van_wijngaarden_viaf_unknown","1"
"ofhuys_gabriël_viaf_unknown","1"
"oláh_miklós_viaf_9923869","2"
"pace_richard_viaf_62360861","1"
"paludanus_johannes_viaf_13125061","1"
"papin_antoine_viaf_unknown","1"
"paracelsus_viaf_12313247","1"
"parcius_thomas_viaf_unknown","1"
"parentibus_lazarus_a_viaf_unknown","1"
"paris_faculty_of_theology_of_viaf_not_applicable","1"
"paris_parliament_of_viaf_not_applicable","1"
"parra_juan_de_la_viaf_unknown","1"
"patron_a_[corpus_era]_viaf_unknown","1"
"paul_iii_pope_viaf_51803934","1"
"paul_iv_pope_viaf_88875623","2"
"paumgartner_johann_(ii)_viaf_281100987","1"
"paumgartner_johann_georg_viaf_unknown","1"
"pellicanus_konrad_viaf_41862976","2"
"peutinger_konrad_viaf_56776766","1"
"pflug_julius_von_viaf_3265533","2"
"philip_utrecht_bischof_viaf_47558106","1"
"phoenix_petrus_viaf_uncertain","1"
"pins_jean_de_viaf_95268746","1"
"pio_alberto_viaf_122252078","2"
"pirckheimer_willibald_viaf_27173507","1"
"piso_jacob_viaf_46572011","1"
"pistoris_simon_viaf_45210172","2"
"plaine_gérard_de_viaf_unknown","1"
"platz_ludwig_viaf_unknown","1"
"pole_reginald_viaf_37029945","2"
"ponchier_étienne_viaf_233493311","1"
"praepositus_edanus_nicolaus_viaf_unknown","1"
"priccardus_leonardus_viaf_unknown","1"
"pucci_antonio_viaf_49215795","2"
"pucci_lorenzo_viaf_37813554","1"
"quinonus_guilhelmus_viaf_unknown","1"
"quintinus_[corpus_era]_viaf_unknown","1"
"rebhan_leonhard_viaf_unknown","1"
"reisch_gregor_viaf_9989194","1"
"rem_wolfgang_andreas_viaf_61982771","1"
"rescius_rutgerus_viaf_76304064","1"
"resende_andré_de_viaf_120700950","1"
"reuchlin_johann_viaf_66542815","2"
"rhegius_urbanus_viaf_17232588","1"
"rhenanus_beatus_viaf_39415982","1"
"rhodus_stegrius_viaf_unknown","1"
